Original Workload,Spatial Shifted Workload,Temporal Shifted Workload,Original Workload,Spatial Shifted Workload,Temporal Shifted Workload,Original Workload,Spatial Shifted Workload,Temporal Shifted Workload,HL Action 1,HL Action 2,HL Action 3
0.48023532255320744,0.5665505111273734,0.23,0.7569843116050092,0.4390911877890965,0.18,0.40169866090139955,0.6332765961431462,0.26,0.23794723,0.082270585,0.23882802
0.4407293110994612,0.5848968139875468,0.24,0.7548031877061101,0.43358194281466655,0.18,0.4015666454078462,0.5786203874112041,0.24,0.2507317,0.071566425,0.23334476
0.3772873460064613,0.5122681816854089,0.21,0.7539240423035023,0.44198171536307285,0.18,0.39272523307274265,0.5696867243342246,0.23,0.23951316,0.08172969,0.22912315
0.3339101890381949,0.4632826160266899,0.19,0.7506704989920705,0.4421954992096643,0.18,0.37679005440247654,0.5558926271963878,0.9,0.2353513,0.09263722,0.22962353
0.3181701725406517,0.47467757267541144,0.8999999999999999,0.7388304484140682,0.43021573524535445,0.18,0.3538781321694301,0.5059854452033841,0.21,0.26350072,0.074436516,0.20937748
0.3301185703799887,0.45799601489295866,0.8999999999999999,0.7183504474440894,0.4471409192970961,0.18,0.32406502182738517,0.4673971054614085,0.19,0.2311971,0.07699147,0.19035798
0.3697283572597334,0.49840008510532563,0.2,0.6892747136990718,0.4038978910830779,0.17,0.28743857464339495,0.4441436694137966,0.18,0.24767146,0.07779177,0.22111794
0.40042962634869445,0.5067682499055494,0.21,0.6597835313792465,0.4016122565956751,0.9,0.2668735061765564,0.4187061574032729,0.17,0.22532487,0.07708501,0.21424732
0.41596737425424174,0.5117557650111775,0.21,0.6433666538777933,0.383961660700917,0.16,0.2652232838202279,0.42883988624016856,0.8999999999999999,0.2296351,0.092159905,0.2253013
0.4162816073097392,0.5229827798246733,0.8999999999999999,0.6400705465399796,0.3772332709804032,0.9,0.28240043548567345,0.4385365385303157,0.18,0.23801446,0.08027199,0.22654435
0.4013184198792495,0.5162262046165917,0.21,0.6498735698637388,0.38580748013309984,0.16,0.31827538345044254,0.4674336884437392,0.19,0.2550741,0.089683555,0.20305435
0.3808248880318442,0.5027646920962778,0.21,0.6658222018610434,0.39260969432712706,0.16,0.35112001718203306,0.5023927206515157,0.21,0.24783063,0.07890892,0.21605228
0.3565308918008917,0.48192421355069537,0.2,0.6761482089456152,0.39647091414390223,0.9,0.3783002407848263,0.5325842138367356,0.22,0.25201085,0.085407116,0.21607569
0.32837807542098263,0.4482244415419292,0.18,0.680875693712065,0.40124513839612475,0.9,0.3997284884720365,0.5595126776670303,0.23,0.24213105,0.09126359,0.22241506
0.2964353979700577,0.41739208630998587,0.17,0.6800899387014461,0.39863699049941725,0.16,0.4155452997921014,0.5760415596542021,0.24,0.24324149,0.09628298,0.22544202
0.2884427635431632,0.4038359615308439,0.17,0.6796181268054011,0.4101262114881241,0.17,0.42146046167904133,0.5755591790086376,0.24,0.23498231,0.09886406,0.21117422
0.3090817779035549,0.4470321284602107,0.8999999999999999,0.6894348367878789,0.3977169398658579,0.16,0.4169297304169595,0.5706972767823247,0.23,0.25761583,0.08148696,0.22294427
0.35840887984338843,0.47842341486418766,0.2,0.7095423360191977,0.41374310373497014,0.17,0.402020206168518,0.5778049034319463,0.24,0.24040842,0.09558882,0.23233399
