Original Workload,Spatial Shifted Workload,Temporal Shifted Workload,Original Workload,Spatial Shifted Workload,Temporal Shifted Workload,Original Workload,Spatial Shifted Workload,Temporal Shifted Workload,HL Action 1,HL Action 2,HL Action 3
0.219402463630025,0.21408222949643416,0.19,0.585192459755278,0.5403705419004233,0.54,0.08878828964203651,0.138930441630482,0.13,0.08384795,0.24788883,0.047813386
0.23165232449062023,0.21851674513104763,0.2,0.6175265149456908,0.5822477078950011,0.5800000000000001,0.125788982942997,0.17420336935325928,0.16,0.07204894,0.2487681,0.07324428
0.25096775919365744,0.2495267731675967,0.22,0.6506972339302368,0.6051510058455721,0.61,0.18264789931308506,0.2296351134238105,0.22,0.091639005,0.24333896,0.07710474
0.2756517437800544,0.26206952836801056,0.24,0.6733830012538775,0.6374369885409066,0.64,0.22433811351073146,0.2738663416357462,0.27,0.073936,0.22988957,0.06169809
0.30421680658586875,0.2887690495745208,0.26,0.681346850404418,0.6419036898692222,0.64,0.2398515887754304,0.29474250632197413,0.29000000000000004,0.081965476,0.23435482,0.068391286
0.3365591618752487,0.29993502655228266,0.26,0.6745381927857708,0.6349804935427457,0.64,0.22940606554721216,0.30558790011320325,0.30000000000000004,0.076091416,0.26132315,0.051301464
0.37275589553315785,0.3361310781600684,0.31000000000000005,0.6530110939249478,0.6120894633966822,0.61,0.19337954675735475,0.27092599465870976,0.26,0.07967411,0.23783097,0.05743341
0.40442912070993664,0.3547141970878685,0.32999999999999996,0.6317044306863426,0.5909921976177988,0.59,0.16028539529552743,0.25071255198613945,0.25,0.081563555,0.25032565,0.06745359
0.4249845615718766,0.3601527582163422,0.33999999999999997,0.6162805318429864,0.5882211183894535,0.59,0.1391321524302039,0.2320233692392712,0.22,0.06363786,0.24483378,0.080206916
0.43442188258355774,0.3844808010090439,0.37,0.6067631099202196,0.561988238158709,0.56,0.12980849118960236,0.22452444452562678,0.21,0.08797639,0.23783772,0.06629732
0.43264658493890884,0.38579788735178466,0.37,0.603100131859471,0.5585227233505619,0.56,0.1322862710636432,0.22371237715967654,0.21,0.088763356,0.23201822,0.06770002
0.42064074943262214,0.37309637488880715,0.35,0.6002228950086996,0.5634760593434986,0.56,0.13716331999879022,0.2214545302078062,0.21,0.0771643,0.22313614,0.06976314
0.39900336184767093,0.3443428894854088,0.32,0.5961725764489232,0.5638289830085874,0.56,0.14137687933206844,0.22838094513466628,0.22,0.07076536,0.24272688,0.06963497
0.3678367803260787,0.31528468846192526,0.28,0.5910053720745401,0.5551400474753669,0.56,0.14517061715197616,0.23358803361530273,0.22,0.078757875,0.26940867,0.07357551
0.327185915640835,0.287444996354327,0.26,0.5846832379550275,0.5580894084777968,0.56,0.1482694520606959,0.21460420082443468,0.2,0.066392735,0.24010703,0.082450494
0.2883630814863056,0.2594632273709431,0.24,0.5762165645240831,0.551544542796742,0.56,0.16203966709602313,0.2156115429387267,0.2,0.06388132,0.22787012,0.07490422
0.26047760036298795,0.24849303069344228,0.22,0.5652613126289823,0.5251283512726868,0.53,0.19002886041779946,0.24214639144364064,0.23,0.090546384,0.2425043,0.05814594
0.24352661149860985,0.23609042700500915,0.22,0.5517824182299133,0.5165797175751886,0.51,0.23208768042543804,0.27472656557376335,0.26,0.094086036,0.24371548,0.07200865
0.23756044994348774,0.21540881059966555,0.19,0.53577749093769,0.5182565925045607,0.52,0.28812365936431616,0.3277961971412677,0.33,0.06822982,0.24712716,0.066065736
0.23519464073843396,0.22041262721975124,0.19,0.5215421139110608,0.5024186768559753,0.51,0.3247013200746393,0.35860677064840757,0.36,0.0847127,0.25069982,0.077171855
0.2306893352527185,0.22963978545625902,0.21000000000000002,0.5106709234328741,0.4748110733421202,0.47000000000000003,0.3318829223935702,0.3687923222807836,0.37,0.10458483,0.23606631,0.052875817
0.22398042859239492,0.20091647632356333,0.19,0.503148323052532,0.49082119197113383,0.49,0.3095076128799695,0.34489869623019925,0.33,0.06650559,0.25237083,0.068286024
0.21508138594589576,0.20234019617303572,0.19,0.49904773858336904,0.4773904563611298,0.48000000000000004,0.2575671109400792,0.2919655829351785,0.28,0.0775164,0.2390982,0.06610744
0.20445979050387564,0.198861349265818,0.16999999999999998,0.5004101221135282,0.4687629113556755,0.47000000000000003,0.2072744398067574,0.24452009180266776,0.23,0.08581198,0.23740426,0.054488014
0.1923626449705422,0.17106552636815148,0.15000000000000002,0.5080470691021411,0.4923889943118047,0.49,0.16786873387817947,0.20482392727090662,0.2,0.052508112,0.24939203,0.0656377
0.17870873338180726,0.18966018334106796,0.16999999999999998,0.5218567997436047,0.4754760785665074,0.48000000000000004,0.13964658013856945,0.17507585135640596,0.16999999999999998,0.104336485,0.24339747,0.057774298
0.16358297364486285,0.1674999362946141,0.15000000000000002,0.5418360146760416,0.5092414174758048,0.51,0.12268702707930648,0.15136466162979206,0.15000000000000002,0.07465027,0.22331935,0.06401336
0.1541634553372122,0.16731592614220156,0.15000000000000002,0.564883762956857,0.5232926274056705,0.52,0.11882141773597503,0.14726008248217223,0.14,0.08778107,0.23633118,0.06728557
0.15623359715075252,0.16810819574331604,0.15000000000000002,0.589818675688506,0.5495713277864983,0.54,0.12828391350869936,0.15665666281814355,0.15000000000000002,0.08412976,0.24160427,0.07307194
0.16982532217856006,0.17850507011389452,0.16,0.6167612512018132,0.5740100459463507,0.5700000000000001,0.15102642985482878,0.1850978871749568,0.18,0.08383067,0.25334126,0.059276402
